sku,source,observations,total_quantity,total_revenue,reference_price,average_unit_price,price_cv,baseline_volume,segment
85123A,local_public_csv,1094,19774.0,53932.37999999971,2.95,2.727439061393735,0.26738631241320665,18.07495429616088,premium
71053,local_public_csv,162,989.0,3952.9100000000003,3.75,3.9968756319514664,0.497844811172226,6.104938271604938,premium
84406B,local_public_csv,181,1152.0,4197.480000000002,4.15,3.6436458333333355,0.32014422193617825,6.3646408839779,premium
84029G,local_public_csv,209,1615.0,8410.14,3.75,5.207517027863776,0.5567853351694392,7.7272727272727275,premium
84029E,local_public_csv,162,1930.0,9813.34999999999,3.75,5.084637305699476,0.5056799371990857,11.91358024691358,premium
22752,local_public_csv,181,860.0,7220.87,8.5,8.39636046511628,0.39108354293811787,4.751381215469613,premium
21730,local_public_csv,77,326.0,1535.0200000000004,4.95,4.708650306748468,0.27305472058181957,4.233766233766234,premium
22633,local_public_csv,106,977.0,1988.4900000000007,2.1,2.0353019447287624,0.22131829925030091,9.216981132075471,mainstream
22632,local_public_csv,92,880.0,1804.6500000000003,2.1,2.050738636363637,0.29457024690176764,9.565217391304348,mainstream
84879,local_public_csv,598,13422.0,22079.660000000164,1.69,1.6450350171360575,0.18171203046882098,22.444816053511705,staples
22745,local_public_csv,203,1001.0,2264.219999999998,2.1,2.26195804195804,0.37369180977813277,4.931034482758621,mainstream
22748,local_public_csv,198,1051.0,2370.889999999997,2.1,2.2558420551855347,0.3769962507630235,5.308080808080808,mainstream
22749,local_public_csv,170,847.0,3146.25,3.75,3.7145808736717827,0.3264529617569853,4.982352941176471,premium
22310,local_public_csv,44,271.0,548.9399999999999,3.29,2.0256088560885606,0.2552611272259803,6.159090909090909,premium
84969,local_public_csv,126,319.0,1329.5699999999995,3.36,4.167931034482757,0.49066183245133116,2.5317460317460316,premium
22623,local_public_csv,75,296.0,1484.5299999999993,4.95,5.015304054054051,0.3550540836669261,3.9466666666666668,premium
22622,local_public_csv,106,628.0,6027.879999999995,9.95,9.598535031847126,0.4149972688743344,5.9245283018867925,premium
21754,local_public_csv,415,1605.0,9808.190000000028,5.95,6.1110218068536,0.3243076700532443,3.8674698795180724,premium
21755,local_public_csv,345,1120.0,6858.670000000004,5.95,6.123812500000003,0.31065327025489015,3.246376811594203,premium
48187,local_public_csv,287,1191.0,8658.119999999974,7.95,7.269622166246829,0.27918737563539736,4.149825783972125,premium
22960,local_public_csv,568,3966.0,16700.82000000003,4.25,4.210998487140703,0.39275910681529885,6.982394366197183,premium
22913,local_public_csv,66,263.0,1209.24,4.95,4.59787072243346,0.3875399939024985,3.984848484848485,premium
22912,local_public_csv,59,203.0,909.0699999999997,4.95,4.478177339901476,0.2704421580829077,3.440677966101695,premium
22914,local_public_csv,93,335.0,1561.0900000000008,4.95,4.659970149253734,0.32174151476162866,3.6021505376344085,premium
21756,local_public_csv,151,490.0,3005.589999999996,5.95,6.133857142857135,0.2894035351195885,3.2450331125827816,premium
22728,local_public_csv,281,1708.0,6600.0199999999995,3.75,3.8641803278688522,0.44826855202430665,6.07829181494662,premium
22727,local_public_csv,418,2505.0,9722.249999999996,3.75,3.881137724550897,0.38729449491377566,5.992822966507177,premium
22726,local_public_csv,327,1738.0,7235.199999999998,3.75,4.162945914844648,0.44863604930958584,5.314984709480123,premium
21724,local_public_csv,36,187.0,165.33999999999992,0.85,0.884171122994652,0.39075607662413275,5.194444444444445,private_label
21883,local_public_csv,83,1251.0,454.32000000000016,0.43,0.3631654676258994,0.9179120434036748,15.072289156626505,staples
10002,local_public_csv,71,860.0,759.8900000000002,0.85,0.8835930232558142,0.4296390027020434,12.112676056338028,staples
21791,local_public_csv,200,2937.0,3581.4800000000014,1.25,1.219434797412326,0.4219829740641202,14.685,staples
21035,local_public_csv,222,1333.0,4406.870000000001,5.79,3.305978994748688,0.2591122535850133,6.004504504504505,premium
22326,local_public_csv,279,3310.0,9767.2,2.95,2.9508157099697887,0.4845224230632117,11.863799283154123,premium
22629,local_public_csv,367,6756.0,12110.519999999957,1.95,1.7925577264653578,0.3502923017193167,18.408719346049047,staples
22659,local_public_csv,348,6037.0,10968.45999999998,1.95,1.816872618850419,0.3866361953658581,17.347701149425287,staples
